city,2013,2014,2015
Москва,11980,12108,12108
Курск,429,431,435
Ярославль,599,602,604
Самара,1172,1172,1172
Якутск,286,294,299
Сергиев,108,107,106
Балашиха,235,247,261
Воронеж,1004,1015,1024
Мытищи,179,183,187
Сургут,326,332,341
Чехов,70,70,70
Уфа,1078,1097,1106
Омск,1161,1166,1174
Н.Новгород,1260,1264,1268
Цифровой склад 1С-Онлайн,0,0,0
Вологда,306,308,311
Красноярск,1016,1036,1052
Адыгея,444,444,444
Волжский,327,327,327
Томск,548,557,565
Новосибирск,1524,1548,1567
Коломна,145,144,144
Тюмень,634,680,697
Химки,221,226,232
Жуковский,107,108,108
Калуга,331,334,343
Интернет-магазин,0,0,0
Казань,1176,1191,1206
РостовНаДону,1104,1110,1115
Выездная Торговля,0,0,0
СПб,5028,5132,5192